product_id,store_code,store_name,product_name,sku,niche_term,product_category,regular_price,sale_price,discount_amount,discount_percentage
26365,"RBN","Rabbona","Sudadera Man Utd Icon","MUSD4CNTS","Manchester United","Adult","250.00","207.00","43.00","17.20"
26365,"RBN","Rabbona","Sudadera Man Utd Icon","MUSD4CNTM","Manchester United","Adult","250.00","207.00","43.00","17.20"
26365,"RBN","Rabbona","Sudadera Man Utd Icon","MUSD4CNTL","Manchester United","Adult","250.00","207.00","43.00","17.20"
26365,"RBN","Rabbona","Sudadera Man Utd Icon","MUSD4CBTL","Manchester United","Adult","250.00","207.00","43.00","17.20"
26907,"RBN","Rabbona","Llavero FCB","BCNLV2D1","Barcelona","Barcelona","30.00","15.00","15.00","50.00"
26909,"RBN","Rabbona","Llavero Madrid","RMLV1D1","Real Madrid","Llaveros","30.00","15.00","15.00","50.00"
26911,"RBN","Rabbona","Llavero Vecchia Signora","JUVLV2D1","Juventus","Juventus","30.00","15.00","15.00","50.00"
26913,"RBN","Rabbona","Llavero Chelsea","CHLV2D1","Chelsea","Chelsea","30.00","15.00","15.00","50.00"
26915,"RBN","Rabbona","Llavero PSG","PSGLV1D1","PSG","Llaveros","30.00","15.00","15.00","50.00"
26917,"RBN","Rabbona","Llavero Red Devils","MULV2D1","Manchester United","Llaveros","30.00","15.00","15.00","50.00"
26919,"RBN","Rabbona","Llavero La Verde","SBOLV2D1","Bolivia","Bolivia","30.00","15.00","15.00","50.00"
26923,"RBN","Rabbona","Llavero Albiceleste","SARLV2D1","Argentina","Argentina","30.00","15.00","15.00","50.00"
26958,"RBN","Rabbona","PopSocket FCB","BCNPSD1","Barcelona","Barcelona","50.00","29.99","20.01","40.02"
27063,"RBN","Rabbona","PopSocket RMCF","RMPSD1","Real Madrid","PopSockets","50.00","29.99","20.01","40.02"
27066,"RBN","Rabbona","PopSocket Vecchia Signora","JUVPSD1","Juventus","Juventus","50.00","29.99","20.01","40.02"
27068,"RBN","Rabbona","PopSocket Chelsea FC","CHPSD1","Chelsea","Chelsea","50.00","29.99","20.01","40.02"
27070,"RBN","Rabbona","PopSocket PSG","PSGPSD1","PSG","PopSockets","50.00","29.99","20.01","40.02"
27072,"RBN","Rabbona","PopSocket Red Devils","MUPSD1","Manchester United","Manchester United","50.00","29.99","20.01","40.02"
27076,"RBN","Rabbona","PopSocket Albiceleste","SARPSD1","Argentina","Argentina","50.00","29.99","20.01","40.02"
27512,"RBN","Rabbona","Gorra Camionera LFC","RBN-LFC-G1-D1-CBB","Liverpool","Adult","90.00","59.99","30.01","33.34"
27512,"RBN","Rabbona","Gorra Camionera LFC","RBN-LFC-G1-D1-CNN","Liverpool","Adult","90.00","59.99","30.01","33.34"
27512,"RBN","Rabbona","Gorra Camionera LFC","RBN-LFC-G1-D1-CR","Liverpool","Adult","90.00","59.99","30.01","33.34"
27517,"RBN","Rabbona","Gorra Camionera LFC - Niño","LFCG2D1CNB","Liverpool","Caps","90.00","59.99","30.01","33.34"
27517,"RBN","Rabbona","Gorra Camionera LFC - Niño","LFCG2D1CNN","Liverpool","Caps","90.00","59.99","30.01","33.34"
27517,"RBN","Rabbona","Gorra Camionera LFC - Niño","LFCG2D1CBB","Liverpool","Caps","90.00","59.99","30.01","33.34"
27523,"RBN","Rabbona","Gorra Camionera LFC - Negra con Blanco","LFCG1D1CNB","Liverpool","Adult","100.00","69.99","30.01","30.01"
27526,"RBN","Rabbona","Gorra Camionera LFC - Blanca","LFCG1D1CBB","Liverpool","Adult","100.00","69.99","30.01","30.01"
27528,"RBN","Rabbona","Gorra Camionera LFC - Negra","LFCG1D1CNN","Liverpool","Adult","100.00","69.99","30.01","30.01"
27531,"RBN","Rabbona","Polera You'll Never Walk Alone","RBN-LFC-D1-CN-TM","Liverpool","Adult","190.00","155.00","35.00","18.42"
27531,"RBN","Rabbona","Polera You'll Never Walk Alone","RBN-LFC-D1-CR-TL","Liverpool","Adult","190.00","155.00","35.00","18.42"
27531,"RBN","Rabbona","Polera You'll Never Walk Alone","RBN-LFC-D1-CN-TL","Liverpool","Adult","190.00","155.00","35.00","18.42"
