customer_key,channel_name,niche_term,orders_count,total_spend
"05a6154e107e26c6cfdafe37794b9a4c3cb8f3774dd44b59690ccb43a1daeaaa","Online Web","Oriente Petrolero",1,"79.98"
"05a6154e107e26c6cfdafe37794b9a4c3cb8f3774dd44b59690ccb43a1daeaaa","Online Web","Real Madrid",1,"572.00"
"05a6154e107e26c6cfdafe37794b9a4c3cb8f3774dd44b59690ccb43a1daeaaa","Point of Sale","Breaking Bad Universe",1,"139.99"
"05a6154e107e26c6cfdafe37794b9a4c3cb8f3774dd44b59690ccb43a1daeaaa","Point of Sale","Juventus",1,"139.99"
"05a6154e107e26c6cfdafe37794b9a4c3cb8f3774dd44b59690ccb43a1daeaaa","Point of Sale","Manchester United",1,"899.94"
"05a6154e107e26c6cfdafe37794b9a4c3cb8f3774dd44b59690ccb43a1daeaaa","Point of Sale","Oriente Petrolero",1,"79.98"
"05a6154e107e26c6cfdafe37794b9a4c3cb8f3774dd44b59690ccb43a1daeaaa","Point of Sale","Real Madrid",1,"572.00"
"05a7c4495fa72eb6b5e77ff29ff4fa33b4e61c7a0d5d869b3c52013d65552fd8","Manual Admin","Formula 1",1,"1199.92"
"05af37f284db6d1a079c5cd5c911a5812d48d24c2319f79aa03b9eef57c7e5d0","Manual Admin","Tenis",1,"119.98"
"05b1136472a52a19aa17eefd5da67090856a1b07e835b24fe3d132da55c7a607","Manual Admin","Oriente Petrolero",1,"979.93"
"05b1136472a52a19aa17eefd5da67090856a1b07e835b24fe3d132da55c7a607","Manual Admin","Real Madrid",1,"419.97"
"05b1136472a52a19aa17eefd5da67090856a1b07e835b24fe3d132da55c7a607","Online Web","Oriente Petrolero",1,"979.93"
"05b1136472a52a19aa17eefd5da67090856a1b07e835b24fe3d132da55c7a607","Online Web","Real Madrid",1,"419.97"
"05cd2247ad819f6bb3b959992e977b25c51f81968bb252e155f4e2ec8c6d1ad1","Manual Admin","Other Trends",1,"149.97"
"05f5ff759698093cc4ceabe022e3d5b096827b6eefcaa1bc8e07c49712c5541e","Online Web","Oriente Petrolero",1,"519.96"
"061a5ccb412aa4321d0a48f69239c037de0a54ba53775209c20436dd54386525","Online Web","River Plate",1,"165.00"
"062029084f3665168083126f1882b472c4b74abd3643d7fee55faafd3315f57d","Online Web","Oriente Petrolero",1,"399.92"
"06210516206726a278685cfb7b7cf23e343230f00ec7c3982dfc523a37a30e5d","Online Web","Netflix",1,"127.00"
"064ccd6576097c2503abd4faf35af9a859377d0c7a59285ed14dda3b87e57132","Online Web","Oriente Petrolero",1,"1959.86"
"064ccd6576097c2503abd4faf35af9a859377d0c7a59285ed14dda3b87e57132","Other Channels","Oriente Petrolero",1,"65.00"
"064dab9dab3864e25a74b8e6402447c2e83c6b336ceace437c2d18b606cfcaaa","Manual Admin","Apparel",1,"290.00"
"064dab9dab3864e25a74b8e6402447c2e83c6b336ceace437c2d18b606cfcaaa","Manual Admin","Italia",1,"290.00"
"064dab9dab3864e25a74b8e6402447c2e83c6b336ceace437c2d18b606cfcaaa","Manual Admin","Oriente Petrolero",1,"6380.00"
"065622c5490f88baa189542d9877ba755ed9fef910919b4856fba57a12f5946b","Manual Admin","Oriente Petrolero",1,"119.98"
"067cdc3fd51b6323ba7402ebf4c801ed6ec23e65907b0235d6f192e808a5fed0","Other Channels","Manchester United",1,"49.99"
"067fd2ae43acb05b4d4482afadca77ffed65ab903928eb6bbbcec7317d6936b9","Online Web","Oriente Petrolero",1,"120.00"
"069f6826dd354b81bb4ecaba81c2801538d56f1d2e17bca162b993c9493ba110","Online Web","Oriente Petrolero",2,"799.91"
"06a265d0c581f1094f30433ec488ebd46a3199ee398cef5df28e2412d3889359","Online Web","Oriente Petrolero",1,"519.96"
"06a48d4421a9f75ddc1bae4a51eac5b65f8d883e1fbdbe76e659533e2e5e9df9","Other Channels","Barcelona",1,"39.99"
"06a48d4421a9f75ddc1bae4a51eac5b65f8d883e1fbdbe76e659533e2e5e9df9","Other Channels","Other Trends",1,"55.00"
"06abe16fb96da36c620666a5688865e52133eca2c7e7ce9562f49cb6f514329e","Point of Sale","Liverpool",1,"49.99"
"06e0be7b305251b8916d07855bf6846562c3ccb2bc26d26dee8bca3e60be9bc2","Manual Admin","Oriente Petrolero",1,"1749.93"
"06e0be7b305251b8916d07855bf6846562c3ccb2bc26d26dee8bca3e60be9bc2","Manual Admin","Real Madrid",1,"569.97"
"06e0be7b305251b8916d07855bf6846562c3ccb2bc26d26dee8bca3e60be9bc2","Other Channels","Oriente Petrolero",1,"1749.93"
"06e0be7b305251b8916d07855bf6846562c3ccb2bc26d26dee8bca3e60be9bc2","Other Channels","Real Madrid",1,"569.97"
"06eb4940a4c3c095c4e0165a4c28aad26d8a961137b6a58834d80d263f359c1b","Online Web","Oriente Petrolero",1,"209.97"
"06eb81bfcb403a50732f4c8ad8786b1035e4c2daeadb41a2de49e3abb17b579e","Online Web","Oriente Petrolero",1,"215.00"
"06fc4c7940a6091d1478959fba2ecc5cbe44ccfdc68365c93de621b3f43bade6","Online Web","Harry Styles",1,"389.97"
"06fc4c7940a6091d1478959fba2ecc5cbe44ccfdc68365c93de621b3f43bade6","Online Web","Oriente Petrolero",1,"1199.86"
"06fc4c7940a6091d1478959fba2ecc5cbe44ccfdc68365c93de621b3f43bade6","Other Channels","Harry Styles",1,"389.97"
"06fc4c7940a6091d1478959fba2ecc5cbe44ccfdc68365c93de621b3f43bade6","Other Channels","Oriente Petrolero",1,"1199.86"
"070b061838a97f3666262110ae2a77ba591e7f156942cf72bf9a912542a49461","Manual Admin","Oriente Petrolero",1,"1749.93"
"070b061838a97f3666262110ae2a77ba591e7f156942cf72bf9a912542a49461","Manual Admin","Real Madrid",1,"569.97"
"070b061838a97f3666262110ae2a77ba591e7f156942cf72bf9a912542a49461","Other Channels","Oriente Petrolero",1,"1749.93"
"070b061838a97f3666262110ae2a77ba591e7f156942cf72bf9a912542a49461","Other Channels","Real Madrid",1,"569.97"
"071832378fb7a94767c097f0d312afe0b705dc56e86f781b61488bc17070f026","Manual Admin","Tenis",1,"359.97"
"07437b0f52dc2aba4af0781632a8e4d4d5577a742611ca1baaa26c8521722ff3","Online Web","Oriente Petrolero",1,"334.00"
"0747720156deaa99c44f3ab2d5d31bb6d19cab5bf486c5e037b5c40bf7ec9ccb","Manual Admin","Oriente Petrolero",1,"2059.93"
"0747720156deaa99c44f3ab2d5d31bb6d19cab5bf486c5e037b5c40bf7ec9ccb","Manual Admin","Real Madrid",1,"675.00"
"0747720156deaa99c44f3ab2d5d31bb6d19cab5bf486c5e037b5c40bf7ec9ccb","Online Web","Oriente Petrolero",1,"259.99"
"0747720156deaa99c44f3ab2d5d31bb6d19cab5bf486c5e037b5c40bf7ec9ccb","Other Channels","Oriente Petrolero",1,"2059.93"
"0747720156deaa99c44f3ab2d5d31bb6d19cab5bf486c5e037b5c40bf7ec9ccb","Other Channels","Real Madrid",1,"675.00"
"07487062d867190688a76c8cc243e50d8c53493c40673463e8253f86d3f148e4","Manual Admin","Formula 1",1,"389.97"
