order_id,order_date,store_code,customer_key,channel_name,season_type,sport_event_name,niche_term,product_category,line_total,quantity
20623,2020-10-04T23:37:22.000Z,"PA","40c433584079f7736abe631f20964f4ee35d1ef041917d74a55ad8d033170881","Online Web","Regular Period","No Special Event","Oriente Petrolero","Uncategorized","50.00","1.000"
20624,2020-10-04T23:41:10.000Z,"PA","4ebe6e910a0155c6a5a8e7a4eaa401eafdf345bb014ee10d604a1267506e7e67","Online Web","Regular Period","No Special Event","Oriente Petrolero","Uncategorized","50.00","1.000"
20626,2020-10-05T00:04:19.000Z,"PA","","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Uncategorized","50.00","1.000"
20629,2021-06-18T02:05:10.000Z,"RBN","a9bc5c76b138c337e57b8a14dff69421d877257fd8f4ed0c426a46a84fd00982","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Uncategorized","50.00","1.000"
20629,2021-06-18T02:05:10.000Z,"RBN","a9bc5c76b138c337e57b8a14dff69421d877257fd8f4ed0c426a46a84fd00982","Manual Admin","Regular Period","No Special Event","Juventus","Adult","145.00","1.000"
20630,2020-10-05T01:23:31.000Z,"PA","6a42c9772a4539569a9bd771d5465fbaa0464bbd0582f28051162e4d29179b0a","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Uncategorized","50.00","1.000"
20631,2020-10-05T02:46:32.000Z,"PA","","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Uncategorized","50.00","1.000"
20634,2020-10-05T02:58:02.000Z,"PA","2f48e63e2bbd09dec5457b8cc9631683ac33870d4b6c696673ae56e1db2cfdaf","Online Web","Regular Period","No Special Event","Oriente Petrolero","Uncategorized","50.00","1.000"
20635,2020-10-05T03:22:39.000Z,"PA","ff6cd18d1d3ac110cce7abe195ce7738403a883d8dc1acb69b8a7e49377cb259","Online Web","Regular Period","No Special Event","Oriente Petrolero","Uncategorized","50.00","1.000"
20637,2020-10-05T08:32:35.000Z,"PA","de6d8a4a7f00d856acda83ec2c5b5546d1b65dcc99ab75ed0696b778a217a6d8","Online Web","Regular Period","No Special Event","Oriente Petrolero","Caps","119.97","3.000"
20671,2023-01-08T23:32:46.000Z,"NEB","0f320de9ca5fc564e8d4ee01e8c6d1d02bb5415c52828545a1e9c6e75d9afd5c","Online Web","Regular Period","No Special Event","Game of Thrones","Adult","129.99","1.000"
20675,2023-01-12T23:31:48.000Z,"NEB","","Manual Admin","Regular Period","No Special Event","BTS","Adult","69.99","1.000"
20675,2023-01-12T23:31:48.000Z,"NEB","","Manual Admin","Regular Period","No Special Event","BTS","Women","115.00","1.000"
20729,2020-10-05T23:36:44.000Z,"PA","","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","99.98","2.000"
20769,2021-06-18T22:15:38.000Z,"RBN","","Manual Admin","Regular Period","Copa America 2021","Juventus","Adult","169.99","1.000"
20770,2021-06-19T01:48:26.000Z,"RBN","","Manual Admin","Regular Period","Copa America 2021","Argentina","Adult","135.00","1.000"
20770,2021-06-19T01:48:26.000Z,"RBN","","Manual Admin","Regular Period","Copa America 2021","Francia","Adult","129.99","1.000"
20771,2021-06-19T01:57:58.000Z,"RBN","17149f462fa82c22fe2dec97fcf28ae13b80c20a314bc53adabb40e82f546725","Manual Admin","Regular Period","Copa America 2021","Barcelona","Adult","168.00","1.000"
20772,2021-06-19T03:03:08.000Z,"RBN","6fb127a5de9b17938ba379ac02a948b30d4875ec6b8f3901ea1cefd2b25ccc61","Online Web","Regular Period","Copa America 2021","Juventus","Adult","197.00","1.000"
20800,2020-10-06T23:27:21.000Z,"PA","2ef1ef5b897a8176dd2d834cdf48afe1fc3f82de06ded3144051016246cc3c55","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Poleras","119.99","1.000"
20800,2020-10-06T23:27:21.000Z,"PA","2ef1ef5b897a8176dd2d834cdf48afe1fc3f82de06ded3144051016246cc3c55","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Women","39.99","1.000"
20800,2020-10-06T23:27:21.000Z,"PA","2ef1ef5b897a8176dd2d834cdf48afe1fc3f82de06ded3144051016246cc3c55","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Women","39.99","1.000"
20800,2020-10-06T23:27:21.000Z,"PA","2ef1ef5b897a8176dd2d834cdf48afe1fc3f82de06ded3144051016246cc3c55","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","39.99","1.000"
20800,2020-10-06T23:27:21.000Z,"PA","2ef1ef5b897a8176dd2d834cdf48afe1fc3f82de06ded3144051016246cc3c55","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","39.99","1.000"
20800,2020-10-06T23:27:21.000Z,"PA","2ef1ef5b897a8176dd2d834cdf48afe1fc3f82de06ded3144051016246cc3c55","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","39.99","1.000"
20800,2020-10-06T23:27:21.000Z,"PA","2ef1ef5b897a8176dd2d834cdf48afe1fc3f82de06ded3144051016246cc3c55","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Women","39.99","1.000"
20801,2020-10-07T00:07:25.000Z,"PA","","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20803,2020-10-07T20:48:42.000Z,"PA","6b0990229fc8c9721cf0b4e3bd58913478cb7cfc68f4d4c2ad96c77e58179d99","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20803,2020-10-07T20:48:42.000Z,"PA","6b0990229fc8c9721cf0b4e3bd58913478cb7cfc68f4d4c2ad96c77e58179d99","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Women","99.99","1.000"
20804,2020-10-09T22:12:34.000Z,"PA","2eae1b6a5e695a698bd34b0aa57cf86ead127c45d2404a335da30dc6fb7e7586","Online Web","Regular Period","No Special Event","Oriente Petrolero","Poleras","299.97","3.000"
20804,2020-10-09T22:12:34.000Z,"PA","2eae1b6a5e695a698bd34b0aa57cf86ead127c45d2404a335da30dc6fb7e7586","Online Web","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20805,2020-10-09T22:17:53.000Z,"PA","6b0990229fc8c9721cf0b4e3bd58913478cb7cfc68f4d4c2ad96c77e58179d99","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Women","99.99","1.000"
20806,2020-10-09T23:21:02.000Z,"PA","42cd32ce1a64d315f90030186c5264090f7748490c5590c4a294ea27ccf1601f","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20807,2020-10-11T01:26:50.000Z,"PA","3069b9dec94dbe79aa0e5ff2b35649345aabb19fffc881d94789bcec47d35f97","Online Web","Regular Period","No Special Event","Oriente Petrolero","Tazas","179.99","1.000"
20807,2020-10-11T01:26:50.000Z,"PA","3069b9dec94dbe79aa0e5ff2b35649345aabb19fffc881d94789bcec47d35f97","Online Web","Regular Period","No Special Event","Oriente Petrolero","Tazas","0.00","1.000"
20807,2020-10-11T01:26:50.000Z,"PA","3069b9dec94dbe79aa0e5ff2b35649345aabb19fffc881d94789bcec47d35f97","Online Web","Regular Period","No Special Event","Oriente Petrolero","Women","0.00","1.000"
20807,2020-10-11T01:26:50.000Z,"PA","3069b9dec94dbe79aa0e5ff2b35649345aabb19fffc881d94789bcec47d35f97","Online Web","Regular Period","No Special Event","Oriente Petrolero","Women","0.00","1.000"
20808,2020-10-11T21:47:50.000Z,"PA","28d4b1e6d80879de360a477529d527ed7a0d8a78ed91b9e2e76ed5737ff1d989","Other Channels","Regular Period","No Special Event","Oriente Petrolero","Poleras","99.99","1.000"
20809,2020-10-12T03:40:08.000Z,"PA","02e418ad0a1a0687d311673cd7e8d98985fdbfd6ed1b15e59c4dcdd6921fcdd5","Online Web","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20809,2020-10-12T03:40:08.000Z,"PA","02e418ad0a1a0687d311673cd7e8d98985fdbfd6ed1b15e59c4dcdd6921fcdd5","Online Web","Regular Period","No Special Event","Oriente Petrolero","Tazas","39.99","1.000"
20811,2020-10-12T08:17:24.000Z,"PA","","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Poleras","239.98","2.000"
20812,2020-10-12T20:42:57.000Z,"PA","acb2b40b2d826b5e4f1fcc0c16e6fdbaef57cc4777ab877d0f31ce054316a036","Online Web","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20813,2020-10-13T08:51:24.000Z,"PA","011106a0178defc718e29ee16131096bef7733c323e5c4eb991c084c498301c7","Online Web","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20831,2020-10-13T21:48:24.000Z,"PA","59e1c565d08c8d7606696fedcb55d9e9ef36a55126efac1bbd93ac48d081640e","Online Web","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20832,2020-10-14T00:58:33.000Z,"PA","9ddb256702dab544b6a99ba8254b7e067b36d8291e18220b95a2b7d9dac1ef74","Online Web","Regular Period","No Special Event","Oriente Petrolero","Caps","99.98","2.000"
20833,2020-10-14T01:18:20.000Z,"PA","2d93a5c52fa12c53a58abb4d632a4554b30d3c9923cf5fb2cf29ed4d939980ca","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20895,2023-02-08T22:46:31.000Z,"NEB","041ac91191ba1b22a9bc6f3b1b839953d384ce5a45821a2e91b61c7abd236f69","Manual Admin","Regular Period","No Special Event","Better Call Saul","Adult","69.99","1.000"
20915,2020-10-16T08:46:00.000Z,"PA","","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","99.98","2.000"
20915,2020-10-16T08:46:00.000Z,"PA","","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Poleras","99.99","1.000"
20920,2020-10-16T09:33:59.000Z,"PA","","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20921,2020-10-16T09:37:00.000Z,"PA","","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20921,2020-10-16T09:37:00.000Z,"PA","","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Poleras","99.99","1.000"
20923,2020-10-16T09:39:36.000Z,"PA","02e418ad0a1a0687d311673cd7e8d98985fdbfd6ed1b15e59c4dcdd6921fcdd5","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20924,2021-06-19T21:04:58.000Z,"RBN","bc45f10d4ffa41a3e8b9d48f006a5090b41fdde05c934144579982838e907625","Manual Admin","Regular Period","Copa America 2021","Italia","Adult","99.99","1.000"
20924,2021-06-19T21:04:58.000Z,"RBN","bc45f10d4ffa41a3e8b9d48f006a5090b41fdde05c934144579982838e907625","Manual Admin","Regular Period","Copa America 2021","Juventus","Adult","169.99","1.000"
20942,2023-02-14T00:07:53.000Z,"NEB","46bfba43f280c1452539896845e97008c15545414f82d48efbe1f16334aa8ab5","Manual Admin","Regular Period","No Special Event","Better Call Saul","Adult","69.99","1.000"
20950,2020-10-17T01:04:39.000Z,"PA","d2b786549d3dd1dd11f028fae87b74a89fdaf2b3e8e2107220379a63da4af1f3","Online Web","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
20950,2020-10-17T01:04:39.000Z,"PA","d2b786549d3dd1dd11f028fae87b74a89fdaf2b3e8e2107220379a63da4af1f3","Online Web","Regular Period","No Special Event","Oriente Petrolero","Poleras","99.99","1.000"
20950,2020-10-17T01:04:39.000Z,"PA","d2b786549d3dd1dd11f028fae87b74a89fdaf2b3e8e2107220379a63da4af1f3","Online Web","Regular Period","No Special Event","Oriente Petrolero","Tazas","39.99","1.000"
20985,2020-10-17T20:41:52.000Z,"PA","ce5d75d8476c677c89e37b86fb84648179ecd8db568bcd40fad1f10d8b892404","Online Web","Regular Period","No Special Event","Oriente Petrolero","Poleras","129.99","1.000"
20986,2020-10-18T00:32:17.000Z,"PA","da48f4159ae9c911fe7ee8d5537c5ba8f9de65e4e513e2711494025b9a046364","Online Web","Regular Period","No Special Event","Oriente Petrolero","Poleras","99.99","1.000"
20992,2021-06-20T20:35:15.000Z,"RBN","e861e0493c7e7785723caabb6c8e8023040f32883f36a5d2894ec589861e3017","Online Web","Regular Period","Copa America 2021","Barcelona","Adult","179.99","1.000"
20993,2021-06-20T20:46:45.000Z,"RBN","9ea0fbeb52a9ce06a1b3f6a2028f245d02aec65fa227e3077e45ba48694add8b","Online Web","Regular Period","Copa America 2021","Argentina","Adult","115.00","1.000"
21062,2020-10-18T22:21:16.000Z,"PA","cf7873cdb435b9c3dcf6318d70063cf8bbeacd1b6d754df816da228f0f65a604","Online Web","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
21063,2020-10-19T03:22:52.000Z,"PA","000e2b523f5eec85bf287164545d9109cb33c3b549311f4b05e58e598a8daad1","Online Web","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
21063,2020-10-19T03:22:52.000Z,"PA","000e2b523f5eec85bf287164545d9109cb33c3b549311f4b05e58e598a8daad1","Online Web","Regular Period","No Special Event","Oriente Petrolero","Poleras","99.99","1.000"
21077,2020-10-20T10:17:55.000Z,"PA","5c92c70f32213133065a379d009afbd225e02fe1987f7ece5b47a7ec31dc7975","Online Web","Regular Period","No Special Event","Oriente Petrolero","Poleras","129.99","1.000"
21078,2020-10-21T01:34:09.000Z,"PA","ac2ae8bb89b57ba8ab984551cbea189a45b2c6b3974604ae2a978eda97264f43","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Caps","49.99","1.000"
21078,2020-10-21T01:34:09.000Z,"PA","ac2ae8bb89b57ba8ab984551cbea189a45b2c6b3974604ae2a978eda97264f43","Manual Admin","Regular Period","No Special Event","Oriente Petrolero","Poleras","129.99","1.000"
